Year,FFRank,Name,Team,TeamID,Yards,TD,FPTS,opponents,games_vs_top_ten,games_vs_bottom_ten,opponent_avg_madden_rating
2021,18,David Montgomery,Bears,2,849,7,157.0,"[25, 3, 6, 20, 24, 21, 7, 1, 29, 26, 20, 8, 21, 32, 28, 17, 32]",6,5,81.24
2021,19,Darrel Williams,Chiefs,10,558,6,149.0,"[6, 26, 9, 15, 4, 12, 31, 17, 21, 24, 13, 5, 24, 9, 29, 3, 5]",3,7,80.65
2021,20,D'Andre Swift,Lions,20,617,5,148.9,"[1, 21, 26, 2, 32, 3, 25, 15, 29, 6, 2, 32, 5, 8, 16, 28, 21]",7,4,82.12
2020,1,Derrick Henry,Titans,31,"2,027",17,316.1,"[5, 18, 32, 4, 30, 29, 3, 2, 11, 26, 11, 6, 18, 20, 21, 30]",6,5,80.0
2020,2,Alvin Kamara,Saints,27,932,16,294.8,"[7, 24, 21, 20, 9, 22, 2, 7, 1, 16, 5, 16, 15, 10, 32, 22]",5,4,78.88
2020,3,Dalvin Cook,Vikings,32,"1,557",16,293.8,"[21, 11, 31, 30, 28, 16, 21, 20, 2, 13, 22, 18, 7, 2, 27, 20]",3,5,79.69
2020,4,Jonathan Taylor,Colts,11,"1,169",11,218.8,"[18, 32, 19, 2, 6, 3, 20, 26, 31, 21, 31, 30, 24, 30, 29, 18]",4,5,79.44
2020,5,Aaron Jones,Packers,21,"1,104",9,211.9,"[32, 20, 27, 16, 7, 30, 32, 1, 18, 11, 2, 15, 20, 22, 31, 2]",6,2,79.88
2020,6,David Montgomery,Bears,2,"1,070",8,210.8,"[20, 17, 16, 11, 7, 22, 25, 27, 31, 32, 21, 20, 30, 32, 18, 21]",5,5,78.44
2020,7,Josh Jacobs,Raiders,24,"1,065",12,202.3,"[22, 27, 23, 4, 10, 7, 6, 9, 5, 10, 16, 19, 11, 9, 14, 5]",7,5,79.69
2020,8,James Robinson,Jaguars,18,"1,070",7,201.4,"[11, 31, 14, 3, 30, 20, 9, 30, 21, 29, 6, 32, 31, 26, 2, 11]",5,4,80.69
2020,9,Nick Chubb,Browns,6,"1,067",12,193.7,"[26, 3, 12, 13, 11, 29, 3, 24, 30, 15, 18, 31, 26, 17, 19, 29]",7,5,79.75
2020,10,Ezekiel Elliott,Cowboys,13,979,6,179.7,"[25, 16, 28, 6, 17, 8, 12, 15, 29, 32, 12, 26, 3, 1, 15, 17]",5,7,79.12
2020,11,Melvin Gordon,Broncos,5,986,9,174.4,"[31, 29, 7, 19, 23, 10, 9, 16, 24, 14, 27, 10, 22, 4, 9, 24]",5,4,79.25
2020,12,Antonio Gibson,Commanders,12,795,11,170.2,"[15, 8, 6, 26, 25, 17, 13, 17, 20, 3, 13, 29, 1, 28, 22, 15]",4,6,79.56
2020,13,Kenyan Drake,Cardinals,8,955,10,169.2,"[1, 12, 20, 22, 19, 13, 28, 14, 4, 28, 23, 25, 17, 15, 1, 25]",3,6,79.94
2020,14,Ronald Jones,Buccaneers,7,978,7,162.3,"[27, 22, 5, 9, 2, 21, 24, 17, 27, 22, 25, 10, 32, 16, 20, 16]",4,5,78.81
2020,15,Chris Carson,Seahawks,28,681,5,150.8,"[16, 23, 13, 14, 32, 8, 1, 4, 25, 8, 15, 17, 19, 12, 25, 1]",4,3,80.0
2020,16,Mike Davis,Panthers,22,642,6,149.5,"[24, 7, 9, 8, 16, 2, 27, 16, 10, 7, 20, 32, 5, 21, 12, 27]",6,3,80.19
2020,17,David Johnson,Texans,30,691,6,148.5,"[10, 26, 29, 32, 18, 31, 21, 18, 6, 23, 20, 11, 2, 11, 3, 31]",6,6,79.88
2020,18,D'Andre Swift,Lions,20,521,8,147.8,"[2, 21, 8, 27, 18, 16, 11, 32, 12, 22, 30, 2, 21, 31, 7, 32]",5,5,79.69
2020,19,J.K. Dobbins,Ravens,26,805,9,146.5,"[6, 30, 10, 12, 3, 15, 29, 11, 23, 31, 29, 13, 6, 18, 17, 3]",5,8,79.31
2020,20,Miles Sanders,Eagles,15,867,6,142.4,"[12, 25, 3, 1, 29, 26, 17, 13, 17, 6, 28, 21, 27, 8, 13, 12]",3,8,80.69
2019,1,Christian McCaffrey,Panthers,22,"1,387",15,353.2,"[25, 7, 8, 30, 18, 7, 1, 31, 21, 16, 27, 12, 16, 28, 11, 27]",5,5,81.12
2019,2,Derrick Henry,Titans,31,"1,540",16,282.6,"[6, 11, 18, 16, 4, 5, 9, 7, 22, 10, 18, 11, 24, 30, 27, 30]",6,5,81.12
2019,3,Aaron Jones,Packers,21,"1,084",16,269.8,"[2, 32, 5, 15, 13, 20, 24, 10, 9, 22, 1, 17, 12, 2, 32, 20]",6,3,82.12
2019,4,Ezekiel Elliott,Cowboys,13,"1,357",12,261.7,"[17, 12, 14, 27, 21, 19, 15, 17, 32, 20, 23, 4, 2, 25, 15, 12]",4,4,80.88
2019,5,Dalvin Cook,Vikings,32,"1,135",13,243.4,"[16, 21, 24, 2, 17, 15, 20, 12, 10, 13, 5, 28, 20, 9, 21, 2]",6,4,81.75
2019,6,Nick Chubb,Browns,6,"1,494",8,225.2,"[31, 19, 25, 26, 1, 28, 23, 5, 4, 29, 14, 29, 3, 8, 26, 3]",4,5,80.88
2019,7,Austin Ekeler,Chargers,9,557,3,221.0,"[11, 20, 30, 14, 5, 29, 31, 2, 21, 24, 10, 5, 18, 32, 24, 10]",5,5,80.75
2019,8,Mark Ingram,Ravens,26,"1,018",10,216.5,"[14, 8, 10, 6, 29, 3, 28, 23, 3, 30, 25, 1, 4, 19, 6, 29]",2,8,80.62
2019,9,Chris Carson,Seahawks,28,"1,230",7,203.6,"[3, 29, 27, 8, 25, 6, 26, 16, 7, 1, 15, 32, 25, 22, 8, 1]",2,6,81.88
2019,10,Saquon Barkley,Giants,17,"1,003",6,192.1,"[13, 4, 7, 12, 32, 23, 8, 20, 13, 19, 2, 21, 15, 14, 12, 15]",5,4,81.75
2019,11,Todd Gurley,Rams,25,857,12,190.4,"[22, 27, 6, 7, 28, 1, 16, 3, 29, 2, 26, 8, 28, 13, 1, 8]",4,6,81.38
2019,12,Joe Mixon,Bengals,3,"1,137",5,190.4,"[28, 1, 4, 29, 8, 26, 18, 25, 26, 24, 29, 19, 6, 23, 14, 6]",3,6,80.75
2019,13,Leonard Fournette,Jaguars,18,"1,152",3,185.4,"[10, 30, 31, 5, 22, 27, 3, 19, 30, 11, 31, 7, 9, 24, 16, 11]",8,6,80.88
2019,14,Josh Jacobs,Raiders,24,"1,150",7,173.6,"[5, 10, 32, 11, 2, 21, 30, 20, 9, 3, 19, 10, 31, 18, 9, 5]",7,4,82.38
2019,15,Alvin Kamara,Saints,27,797,5,169.0,"[30, 25, 28, 13, 7, 18, 2, 8, 16, 7, 22, 16, 1, 11, 31, 22]",5,5,81.75
2019,16,Miles Sanders,Eagles,15,818,3,168.7,"[12, 16, 20, 21, 19, 32, 13, 4, 2, 23, 28, 14, 17, 12, 13, 17]",5,5,80.75
2019,17,Marlon Mack,Colts,11,"1,091",8,165.3,"[9, 31, 16, 24, 10, 30, 5, 29, 14, 18, 30, 31, 7, 27, 22, 18]",6,5,81.0
2019,18,Kenyan Drake,Dolphins,14,817,8,164.2,"[26, 23, 13, 9, 12, 4, 29, 19, 11, 4, 6, 15, 19, 17, 3, 23]",6,5,81.0
2019,19,Phillip Lindsay,Broncos,5,"1,011",7,162.7,"[24, 2, 21, 18, 9, 31, 10, 11, 6, 32, 4, 9, 30, 10, 20, 24]",7,5,81.38
2019,20,Raheem Mostert,49ers,1,772,8,155.2,"[7, 3, 29, 6, 25, 12, 22, 8, 28, 8, 21, 26, 27, 16, 25, 28]",2,6,81.25
2018,1,Todd Gurley,Rams,25,"1,251",17,309.1,"[24, 8, 9, 32, 28, 5, 1, 21, 27, 28, 10, 20, 2, 15, 8, 1]",6,5,83.06
2018,2,Saquon Barkley,Giants,17,"1,307",11,292.8,"[18, 13, 30, 27, 22, 15, 16, 12, 1, 7, 15, 2, 12, 31, 11, 13]",8,4,83.38
2018,3,Christian McCaffrey,Panthers,22,"1,098",7,274.5,"[13, 16, 3, 17, 12, 15, 26, 7, 29, 20, 28, 7, 6, 27, 16, 27]",4,6,82.56
2018,4,Alvin Kamara,Saints,27,883,14,267.2,"[7, 6, 16, 17, 12, 26, 32, 25, 3, 15, 16, 13, 7, 22, 29, 22]",7,5,82.94
2018,5,Ezekiel Elliott,Cowboys,13,"1,434",6,254.1,"[22, 17, 28, 20, 30, 18, 12, 31, 15, 16, 12, 27, 15, 11, 7, 17]",5,6,82.88
2018,6,James Conner,Steelers,29,973,12,225.0,"[6, 10, 7, 26, 16, 3, 6, 26, 22, 18, 5, 9, 24, 23, 27, 3]",4,5,83.25
2018,7,Melvin Gordon,Chargers,9,885,10,221.5,"[10, 4, 25, 1, 24, 6, 31, 28, 24, 5, 8, 29, 3, 10, 26, 5]",4,6,83.0
2018,8,Kareem Hunt,Chiefs,10,824,7,204.2,"[9, 29, 1, 5, 18, 23, 3, 5, 6, 8, 25, 24, 26, 9, 28, 24]",4,5,83.38
2018,9,Joe Mixon,Bengals,3,"1,168",8,200.4,"[11, 26, 22, 16, 14, 29, 10, 7, 27, 26, 6, 5, 9, 24, 6, 29]",3,4,81.5
2018,10,David Johnson,Cardinals,8,940,7,198.6,"[12, 25, 2, 28, 1, 32, 5, 1, 10, 24, 9, 21, 20, 16, 25, 28]",4,8,83.25
2018,11,James White,Patriots,23,425,5,189.6,"[30, 18, 20, 14, 11, 10, 2, 4, 21, 31, 19, 32, 14, 29, 4, 19]",3,5,81.81
2018,12,Derrick Henry,Titans,31,"1,059",12,187.8,"[14, 30, 18, 15, 4, 26, 9, 5, 23, 11, 30, 19, 18, 17, 12, 11]",3,5,82.94
2018,13,Phillip Lindsay,Broncos,5,"1,037",9,187.8,"[28, 24, 26, 10, 19, 25, 8, 10, 30, 9, 29, 3, 1, 6, 24, 9]",1,7,82.38
2018,14,Chris Carson,Seahawks,28,"1,151",9,185.4,"[5, 2, 13, 8, 25, 24, 20, 9, 25, 21, 22, 1, 32, 1, 10, 8]",7,5,82.31
2018,15,Nick Chubb,Browns,6,996,8,174.5,"[29, 27, 19, 24, 26, 9, 7, 29, 10, 16, 3, 30, 22, 5, 3, 26]",3,5,83.5
2018,16,Adrian Peterson,Commanders,12,"1,042",7,173.0,"[8, 11, 21, 27, 22, 13, 17, 16, 7, 30, 13, 15, 17, 18, 31, 15]",8,2,82.81
2018,17,Jordan Howard,Bears,2,935,9,162.0,"[21, 28, 8, 7, 14, 23, 19, 4, 20, 32, 20, 17, 25, 21, 1, 32]",4,6,81.75
2018,18,Tevin Coleman,Falcons,16,800,4,161.6,"[15, 22, 27, 3, 29, 7, 17, 12, 6, 13, 27, 26, 21, 8, 22, 7]",5,4,81.88
2018,19,Marlon Mack,Colts,11,908,9,161.1,"[3, 12, 15, 30, 23, 19, 4, 24, 18, 31, 14, 18, 30, 13, 17, 31]",5,3,84.06
2018,20,Kenyan Drake,Dolphins,14,535,4,155.2,"[31, 19, 24, 23, 3, 2, 20, 30, 19, 21, 11, 4, 23, 32, 18, 4]",5,5,82.94
2017,1,Todd Gurley,Rams,25,"1,305",13,323.3,"[11, 12, 1, 13, 28, 18, 8, 17, 30, 32, 27, 8, 15, 28, 31, 1]",4,5,83.31
2017,2,Le'Veon Bell,Steelers,29,"1,291",9,260.6,"[6, 32, 2, 26, 18, 10, 3, 20, 11, 31, 21, 3, 26, 23, 30, 6]",6,4,82.75
2017,3,Kareem Hunt,Chiefs,10,"1,327",8,244.2,"[23, 15, 9, 12, 30, 29, 24, 5, 13, 17, 4, 19, 24, 9, 14, 5]",5,7,83.44
2017,4,Melvin Gordon,Chargers,9,"1,105",8,229.5,"[5, 14, 10, 15, 17, 24, 5, 23, 18, 4, 13, 6, 12, 10, 19, 24]",5,9,83.81
2017,5,Mark Ingram,Saints,27,"1,124",12,226.0,"[32, 23, 22, 14, 20, 21, 2, 7, 4, 12, 25, 22, 16, 19, 16, 7]",6,4,81.44
2017,6,LeSean McCoy,Bills,4,"1,138",6,206.6,"[19, 22, 5, 16, 3, 7, 24, 19, 27, 9, 10, 23, 11, 14, 23, 14]",5,5,81.88
2017,7,Leonard Fournette,Jaguars,18,"1,040",9,194.2,"[30, 31, 26, 19, 29, 25, 11, 3, 9, 6, 8, 11, 28, 30, 1, 31]",4,2,82.5
2017,8,Ezekiel Elliott,Cowboys,13,983,7,179.2,"[17, 5, 8, 25, 21, 1, 12, 10, 16, 15, 9, 12, 17, 24, 28, 15]",5,5,83.88
2017,9,Jordan Howard,Bears,2,"1,120",9,178.5,"[16, 7, 29, 21, 32, 26, 22, 27, 21, 20, 15, 1, 3, 20, 6, 32]",7,3,81.44
2017,10,Carlos Hyde,49ers,1,940,8,177.0,"[22, 28, 25, 8, 11, 12, 13, 15, 8, 17, 28, 2, 30, 31, 18, 25]",5,3,84.19
2017,11,Devonta Freeman,Falcons,16,865,7,166.2,"[2, 21, 20, 4, 14, 23, 19, 22, 13, 28, 7, 32, 27, 7, 27, 22]",7,5,81.56
2017,12,Dion Lewis,Patriots,23,896,6,165.0,"[10, 27, 30, 22, 7, 19, 16, 9, 5, 24, 14, 4, 14, 29, 4, 19]",3,7,82.06
2017,13,Lamar Miller,Texans,30,888,3,157.5,"[18, 3, 23, 31, 10, 6, 28, 11, 25, 8, 26, 31, 1, 18, 29, 11]",4,4,82.5
2017,14,Alex Collins,Ravens,26,973,6,152.0,"[3, 6, 18, 29, 24, 2, 32, 14, 31, 21, 30, 20, 29, 6, 11, 3]",3,6,81.19
2017,15,Christian McCaffrey,Panthers,22,435,2,150.6,"[1, 4, 27, 23, 20, 15, 2, 7, 16, 14, 19, 27, 32, 21, 7, 16]",5,6,81.19
2017,16,C.J. Anderson,Broncos,5,"1,007",3,147.1,"[9, 13, 4, 24, 17, 9, 10, 15, 23, 3, 24, 14, 19, 11, 12, 10]",5,5,82.75
2017,17,Marshawn Lynch,Raiders,24,891,7,146.3,"[31, 19, 12, 5, 26, 9, 10, 4, 14, 23, 5, 17, 10, 13, 15, 9]",7,5,84.31
2017,18,Duke Johnson,Browns,6,348,4,146.1,"[29, 26, 11, 3, 19, 30, 31, 32, 20, 18, 3, 9, 21, 26, 2, 29]",6,2,82.75
2017,19,Frank Gore,Colts,11,961,3,143.5,"[25, 8, 6, 28, 1, 31, 18, 3, 30, 29, 31, 18, 4, 5, 26, 30]",3,6,83.62
2017,20,Latavius Murray,Vikings,32,842,8,142.4,"[27, 29, 7, 20, 2, 21, 26, 6, 12, 25, 20, 16, 22, 3, 21, 2]",6,5,80.69
